ip_location,content
浙江,明明是自己的肚子为什么要被别人安排[流泪]
吉林,家附近的一个阿姨，六十岁，身体一直没什么大毛病，前两天突然去世了，死在家两天都没被发现，她有儿子和儿媳呀，有什么用？
上海,我想问，这位老人自己有子女吗？如果有，大家听听就算了，因为她不管怎么说 她自己都是有退路的。特别是女人，年轻的时候丁克没有压力挺潇洒，等年纪大了男人又改变了想法想生孩子，你又生不出，他去找别人生的时候才悲哀！老年公寓也是个小社会，也有各种磕磕碰碰不如意，当你安静的呆着的时候，回忆里都找不到一个值得你牵挂惦记的人，没有念想那才是真的孤独悲哀
江西,我已经生孩子了这是我的孩子可爱吗[色][色]
广西,我29了也没结婚，同意你的想法[图片表情]
湖北,一个人如果没有自己的小孩，终究是个遗憾！
江苏,不不不，孩子靠不住，主要是没有孩子养老院不收，
陕西,年轻冲动结了婚，年纪轻轻把自己整抑郁，只有失望没爱了，有一个女儿，他们说再生一个吧给你女儿做个伴，我直接说不生了[微笑]
福建,耍盆友吧
广东,有没有可能你儿子都几岁了[泣不成声][图片表情]
广东,单身的时候就过好单身生活，结婚了就过好家庭生活[憨笑]
广东,这身材可以生个大胖儿子或者女儿[舔屏]
广东,奈斯、[泣不成声]看过来
广东,我也想结婚了
广东,[图片表情]
广东,好像有道题
广东,[比心][比心][比心]
广东,评论也一直没回复过  看人来回复的？
广西,评论区开始喷吧[捂脸][泣不成声][偷笑]
广东,生了在结婚好不好[奸笑][奸笑]
广东,[捂脸]衣服掌握了流量密码
广东,漂亮[比心][比心][比心]
四川,是吧是吧[流泪]我跟我老公讨论类似的问题 我说我妹妹是不婚主义  挺好的  他说不结婚的人就是自私  每个人都要有义务对社会做贡献  我听后鸡皮疙瘩起了一身  根本说不通  我有了女儿以后也偶尔会后悔  会想要轰轰烈烈的过这一生  但是我已经做不到了  不婚主义的姐妹们  大胆的往前走  一定要做自己啊  我已经早已经变得不是最初的自己了  哪怕我的老公确实很爱我和我的女儿  哪怕我们的婚姻另周围人夸赞羡慕  但我也觉得  你们还有很多种选择的时候  不要选这条路  去把自己的人生变成旷野 不要像我 曾经是旷野 如今是一眼看到头的轨道
河南,我在医院实习的时候，有个70岁的大爷没有家属照顾，他儿子在国外安家了，好几年没有回来了。知道他住院了也不回来
广东,我就是这样跟我妈说，我妈说我这个想法很自私[泪奔]
安徽,嗯 生了 俩闺女 很可爱 天天黏着我[比心]
广东,我女儿7岁半，她跟我讲她以后不想结婚不想生小孩怎么办。我说可以的，只要你觉得可以就行，我只希望你开心
北京,我妈说，没孩子，在养老院里也要受欺负的
江西,愿意生的就生，不愿意生的就不生，互相不打扰。每个人有自己的生活和思想，可以不理解别人的想法，但是不干涉别人的生活。
北京,彩礼可以退，嫁妆是赠予？不理解，互相退呗
湖南,奶奶我听你的！
湖北,让我婆婆看看吧 穷的叮当还想让儿媳生二胎[捂脸]
上海,北上广的老人对这个都会通透一些，他们生活在这个出门就要花钱的城市知道培养一个孩子付出的成本有多大，生长环境不同人的思想不同
广东,"给各位姐妹以及有女儿的叔叔阿姨普及一下
嫁妆篇：
1、 嫁妆领证前给到女方
2、如果是领证后转账给女方，记得备注“仅赠送给自己的女儿，由自己的女儿单独所有”否则算夫妻共有
3、贵重物品 钱财尽可能留下书面、文字《赠与协议》同时公证《赠与协议》
4、嫁妆单独放一张卡，不和婚后财产混同

彩礼篇
1、彩礼属于女方个人财产 （如果离婚就要退回）
2、同居期间收到彩礼，优先使用彩礼，存下工资！
3、如果两个人没登记，要求返还大概率要扣除已使用部分！
4、彩礼单独放一张卡，不和婚后财产混同"
河南,我也是这想法，周围人都说我自私[尬笑]
云南,就怕老了也没钱[流泪]
广东,让国家建立一个男德培训机构，满多少岁得去上那个学，跟驾照一样弄个生活分，伤害违规到点就抓去上课[泣不成声]
江苏,父母不怕苦不怕累，怕的是辛辛苦苦培养出来的孩子不听话，不理解你，反而还觉得父母碍事[翻白眼]
陕西,我是个什么东西，我自己不知道吗？还要生个我[尬笑]
安徽,可以转发给父母吗[暗中观察]
江苏,真实 前期孕反让你怀疑人生 太崩溃了 整个人都是受罪 天天度日如年 对孩子一点爱都没有 只想放弃
北京,恐婚的姐妹们，你们都是哪一年的
北京,养孩子有没有用我还不知道吗[酷拽]
江西,前提也要有钱啊
广东,靠子女是靠不住的[比心]人间清醒
吉林,那不是。我妈半身瘫痪，我爸开胸手术。日复一日都是我和我爱人在照顾。谁能像我照顾他们一样去照顾？谁都不能。虽然我也没要孩子，但是我觉得有孩子真的重要
安徽,我两个女儿 只要出门人家就会问我什么时候再生一个男孩好烦
河南,可我妈说没有小孩的话人生就不完整，[尬笑]
江苏,本来在想结婚不生小孩，结果结婚被家暴还算什么家庭纠纷[比心]我本来可以把他告上法庭让他蹲大牢居然只算一个家庭纠纷[比心]结不结婚还要再考虑了[泪奔]
贵州,怎么样才能把这视频给我爸妈看到啊[抓狂]
湖北,人类灭不灭绝和我有什么关系[尬笑]姐妹们中午吃什么[色]
山西,我妈妈说丁克也挺好的 [色]
广东,[流泪]有没有姐妹点点我，我不想生甚至是讨厌小孩，但是老公商量着至少生一个不然老了没人陪伴，我说有我陪你，她说跟孩子的陪不一样，然后双方父母也是想要我至少生一个，感觉要被迫要个孩子，我本身真的不愿意
上海,是通透吗，是误导吧，去问问丁克的晚年生活怎么样
宁夏,信不信，她肯定有孩子，因为有所以才这样说，而且不生孩子不一定有钱啊
福建,建议：如果生孩子 国家政策 买各种东西打折优惠多多，我会愿意生孩子。因为这样生孩子会更省钱[大笑]
广东,来来来[灵机一动]脱单
广东,我想你包养我，生一个足球队我都没有问题。
湖南,生儿子靠你了
广东,早餐能食这么多
广东,你都开上宝马了，我都还没开上[尬笑]难搞噢
广东,楼主三观很正[比心]，结了婚以后一个家庭，需要有个孩子维持两个人感情。这是我想的，如果想恋爱的话，有一方很想孩子很想结婚，另一方又不想结婚又不想要孩子，那就不要彼此浪费时间，没有意义与结果
广东,每天睡衣都不一样哦
广东,姐姐你睇我得么[看]
广东,[色][色][色]
广东,诱人的你
湖北,我俩身
广东,一个离婚的人说不要去结婚，想当初为什么结婚生子[泣不成声]
广东,道理都懂，问题是你又不愿意嫁我[不失礼貌的微笑]
广东,我要你生3个[捂脸]
广东,[比心][比心][看][看][看]来哇！认识下
IP未知,[求抱抱]
广东,小姐姐[比心]
广东,一个懂生活，懂家庭的女人
广东,不知道要什么条件才能驾驭得了
广东,有道理
广东,给我来一杯
广东,[色][色][色][色]
广东,这身材双胞胎没跑了
广东,倒计时两个星期？
广东,三观这么正的女人怎么还没嫁出去
广东,生两个[泪奔]
广东,[666][666][666]
广东,[微笑]我穷矮矬，注定看看人家成家育儿女。不知道博主愿不愿意嫁我这种人呢
广东,[送心]
广东,你肯定好生养，[偷笑]
广东,能见面吃个饭吗
福建,这么多面吃的完吗，分我吃一口
云南,想生的生，不想的就不生，不要对别人指指点点，做自己就行了，别老是对和自己八竿子打不着的人去劝生或者不生[尬笑]
广东,生儿育女不是为了养老，更不是传宗接代，而是陪你成长，有钱有钱的活法，没钱没钱的活法，看你怎么想这些事。
湖北,我家楼下4楼的老太太跟我说，我这边有个老人在家死很多天了，子女都不知道，等知道的时候尸体都臭了生蛆了[灵机一动]我觉得无论几个孩子，主要是要孝顺，不然都是白搭[尬笑]
山东,逼得人都害怕生孩子，值得深思
湖北,人类灭绝关我什么事，搞笑  中午吃什么才是我该关心的[呲牙]
江苏,我老了宁愿去老年公寓 也不要带孙子孙女[流泪]
福建,我女儿从出生到现在他妈没帮忙带过一天，现在一岁八个月了，她说她来带，让我去上班，说年轻要多挣钱，并且时不时还催我生二胎
山东,培养孩子不如培养自己
北京,孩子就是人到中年以后的一种精神寄托，本来我也没打算孩子给我养老，但是一想到我和我爱的人有了共同的生命延续，给我们平淡的生活中增添几分乐趣，我就觉得很值得～
河北,[抠鼻]捅了丁克的窝
江西,儿孙自有儿孙福，没有儿孙我享福，可怜天下父母心，不当父母我省心
湖北,我就不明白了生孩子都是为了养老吗？就不能是单纯的喜欢，爱，我的孩子我不求她回报
黑龙江,这才是正常的老人啊 我不明白为什么我身边的老人 自己这一辈子都很不幸 养了一堆孩子辛苦劳累一辈子 到头来一个孝顺的都没有 但是还是在劝小辈的结婚生孩子  理解不了  反正我不会要求我的儿子结婚生孩子 除非是他自己想
北京,为啥我婆婆不这样想[流泪]主要是我们不是自己想丁克，是我们身体原因不能自然怀孕，天天催着我们去试管，已经做失败两次了[流泪]
上海,老年公寓如果没有子女，会被护工欺负的，人性有时候真的恶
河北,反正每个人有每个人的想法和活法，所以不要道德绑架，
广东,对对对[赞][赞][赞]
广西,一语惊醒梦中人！超级认同妳的观念！
广东,库里南的恋爱脑[抠鼻]找了三年就还没有找到么[暗中观察]评论区那里多顺便选一个
广西,以后给他生八个儿子
广东,我给个观点，就生一个，多一个都不要，一生人活过来不容易，图个安逸 别太多负担。
广东,三观很正，也是婚姻的本质。有想法，但是应该不合适。收入都没你高
广东,没关注都刷到这么多次[泪奔]大数据懂我
福建,插个眼[看]
福建,你的观点很复古，但是又是事实。去鸡汤。
广东,你是潮汕人么
广东,[玫瑰]
湖南,生个仔出来绝对好看
重庆,今天激动了，鸡蛋都掉了[偷笑]
广东,喜欢😍
广东,姐姐[呲牙]
