ip_location,content,label
新疆,孩子两岁半以后感觉自己慢慢又回来了，不论精神状态还是容貌，虽然跟二十多岁没得比，尤其是眼皮塌得厉害，但是整体感觉没头两年那么老了，我还挺喜欢现在的自己的。当妈妈是世界上最辛苦的事，但是你放心会越来越好的。,0.0
未知,要是考虑这么多，可能你就不会来到这个世界上[偷笑R],1.0
新疆,他是我在这个世界上所有的美好,0.0
江苏,带孩子带的威严感就出来了[大笑R][大笑R],1.0
江苏,为什么要选择用女儿来替代自己闺蜜、朋友、父母的位置？,2.0
未知,大概是自己的能力水平达不到孩子的‘标准生活’所以才不生吧。类似我有孩子以后，我的孩子天天只能吃糖块，而有的小孩天天可以吃蛋糕一样（不是说糖和蛋糕，是说一样的东西，好中坏的区别）,1.0
未知,不婚不育，找到了可以喜欢一辈子的兴趣爱好，不怕孤独，剩下的只要有钱，就没有问题了,2.0
甘肃,尽管她占据我的时间 精力 情绪 但是看她一眼就是整个世界都发光,0.0
辽宁,有了宝宝，真的很幸福😊，我因为我桐姐的到来得到了人生的救赎。[感谢],0.0
未知,他们还说想这么多干嘛 遇到了再说,1.0
福建,把养小孩的钱存起来够我活一辈子了[感谢],2.0
浙江,不是所有人,1.0
吉林,啊…第二点 简直是我丁克的最根本原因 处理关系是让我觉得最最最难的课题 一辈子都在减法,2.0
广东,如果父母一人可以不工作带孩子，然后经济条件可以，带孩子真的开心的比较多，你陪她玩陪她长大，不需要担心这需要钱哪需要钱。经济条件不行的真的不要生孩子，会很难[微笑],1.0
山西,如果我们养儿为了防老 那么何谈父母伟大 如果父母都不伟大 那又何谈养儿防老,1.0
上海,我妈之前催生 我问我妈生孩子有啥好处 她憋了半天想不出来 哈哈,2.0
河南,我感觉真正催人老的是养孩子,1.0
安徽,有了他  不能赚更多钱了，不能远行出游了，电脑再也没时间打开了。天天睡不好了……但是看着他一天天长大，笑着对你就够了。,0.0
广东,上年纪才大切大悟[捂脸],1.0
四川,哈哈哈真好，羡慕了[飞吻R][飞吻R][飞吻R],1.0
上海,所以我觉得夫妻生一个是最优选择。两个人养一个孩子还不至于养不起，但又什么都体验到了，也没催生这回事了[大笑R],0.0
四川,父母要是为子女着想，不是应该支持儿女的这些想法么，而且自己活着是为了父母的希望和愿望么，那父母也太自私了吧[失望R],1.0
未知,说的挺有道理,1.0
上海,自己做了父母 才发现 我父母只是粗糙得把我养大而已,1.0
广西,这不也还是穷吗，而且是各阶层都觉得自己穷,1.0
广东,我觉得吧，如果你想过的好，你得生孩子，然后让你的孩子，你老了以后的工作生活的地方，距离很近。还要你孩子不要生孩子,0.0
江苏,雌激素都流走了[笑哭R],1.0
安徽,感觉后面变的更好看了,1.0
未知,对象喜欢孩子但是尊重我[笑哭R]我超级讨厌小孩。小时候到高中都因为兴趣爱好特殊被小孩霸凌。现在对所有17岁以下的孩子没好感。以后可能会生，但是我绝对不管，也别叫我妈。[笑哭R]谁想要的谁管。我的待遇红包给够就行。就当加个班。,2.0
广东,[微笑],1.0
未知,最幸福的就是你不想生你找的老公也不想生，步调一致的人在一起最舒服,2.0
山东,保佑我生个女儿  跟她一起过个童年 [泣不成声],0.0
辽宁,我妈希望我别结婚生子 我还是结婚 但不会要孩子了,2.0
上海,别去长沙问，来上海问。,1.0
山东,有女儿后我才理解 为什么说是孩子治愈了我们 而不是我们陪伴了孩子,0.0
福建,刚生完还是很好看,0.0
上海,[笑哭R]生完了就真的会很妈感了。,1.0
四川,前置美颜相机➕出去玩儿都拯救不了眼里的疲惫，生了孩子面对镜头都是不自然且疲惫[哭惹R],0.0
未知,丁克没有任何代价，生育才有各种不好的代价和结果,2.0
未知,结！恐婚一大部分是恐育我也不生这不完美[飞吻R],2.0
云南,以生孩子为荣的人和丁克家庭如同我国和美丽国关系一样[笑哭R][笑哭R][笑哭R],1.0
未知,我号脏了，拉黑举报屏蔽一条龙,1.0
未知,信不信无所谓啊，能说就好了。各位姐妹难道没有经历过“我永远爱你”这种鬼话嘛？至少人家愿意说，说的时候可能 也是真心的，享受当下不好么？谈个恋爱而已一定要搞男女对立嘛？,1.0
未知,养老明明是政府和公共养老院的责任，现在都推给子女，政府的职责在哪里？,1.0
上海,感觉90后往后面的不容易活到65岁的……,1.0
江苏,不生孩子主要面对的是两人下班回家大眼瞪小眼不知道干啥，如果你能解决这个问题要不要孩子那就无所谓了,0.0
广东,所以我和我老公一直没特意去要孩子，有就有，没有就没有[笑哭R][笑哭R][笑哭R],1.0
山东,生过娃的宫颈口是扁的  没生过的是圆的[暗中观察R],1.0
湖北,活到六十多差不多了,1.0
天津,看不出来哎姐姐，感觉没什么变化,1.0
中国香港,世另我[笑哭R],1.0
辽宁,嗯，美好的婚姻肯定是存在的，只不过太少。我们所能做的就是擦亮眼睛，不要放弃追求爱的信仰，希望每一个对爱情充满希望的女孩子都能找到自己幸福的归属。,0.0
未知,我的态度就是不管生还是不生，都要想清楚为啥做选择，而不是随大流或者跟风。人有选择自己生活方式的权利，至于后悔我觉得人到头来做了哪个选择都会后悔，会想如果执行了另一个计划就好了，其实里外里都一样。结果不重要，人生的体验感和经历最重要,1.0
未知,评论期说花两万都贵的男的，真的配有孩子吗,1.0
广西,必须不生，坚持不生[暗中观察R],2.0
上海,让国家负责掏钱养孩子,1.0
湖南,你们的子女是单独的人，不是你的附属品，有权利决定自己的人生[微笑],1.0
四川,生养孩子幸福但不快乐，不婚不育快乐但不幸福，我是这么解读的，仅代表我个人看法,1.0
未知,我老公婚前说结了婚就要孩子。结婚以后他主动跟我说压力太大了。先不要孩子。 正合我意。哈哈,0.0
四川,带娃最耗人，古时有句话：儿多母苦,2.0
未知,丁克≠不婚 不要偷换概念,1.0
广东,。。。我自己做了几十年孩子 别把有小孩想太理想了好吧 就算生了小孩也不可能一直陪着你的,1.0
四川,这算什么，生啥孩子，直接单身,2.0
广西,虽然但是感觉也很有元气耶[喝奶茶R]已经很好了,1.0
未知,我们那一老太太5个儿子，老太太最后饿死了[石化R][石化R][石化R]真事，比珍珠还真,2.0
广东,博主广东那里的呢？？,1.0
山东,人自私自利到家了，毁天灭地灭自己！这样的婚姻也走不到结束就会半途而废！不可怜该打！,1.0
北京,可怜，特别可怜。但是没关系，我快乐了几十年，老了可怜点也没啥，年纪大了让我吃龙肉都不香，就算不可怜又有多爽？不如趁着年轻身体好快快乐乐享受生活环游世界。那些一辈子为了老了那几年盘算而活着也是挺可悲的,2.0
江西,生了孩子才真切的感受到生命存在的意义,0.0
未知,我不想生，我老婆想生,2.0
未知,有钱就不凄惨，没钱就从年轻凄惨到老[哭惹R][哭惹R][哭惹R],1.0
河南,亲情都靠不住的话，没有血缘关系的陌生人更靠不住,0.0
未知,47岁丁克。如果这个时候还在想这个问题那就是根本没想好。想好了，以后就贯彻执行，其他的就不要想了。开心快乐和孤单落寞本来就是人生难免的。,2.0
未知,你自己感受到幸福就行，网上的人又不和你对象恋爱，冷暖自知,1.0
浙江,我会给护工颁布满勤奖，不扇我巴掌满30天，才能得到满勤奖1500。,2.0
天津,为什么问生孩子有什么用，如果是为了生他有用而生他我觉得这个孩子这一生都不会快乐，我生我的孩子是因为我爱他的爸爸，他爸爸也爱我，他是我们爱情的见证者之一，两个人孕育出一个生命不是很神奇吗，我的孩子五岁了，基本上我每天都对他说谢谢，谢谢我不完美他还选择了我，谢谢他让我知道做妈妈的感受，我曾经也是孩子，知道孩子最想要什么，而我没有得到过，我会让他全部有。,0.0
甘肃,同岁同感，庆幸自己的选择，祝福姐妹,1.0
福建,我刚生完坐月子那段期间真的是太漂亮了，白里透红眼神温柔胶原蛋白满满，今年娃两岁了，断崖式衰老，我经历了什么[哭惹R],0.0
湖北,对于年轻人来说，父母是自私的。他们选择生下小孩，却自私到不让他们过自己想要的人生，自私到想要操控别人的人生。如果不如他们的愿还要被指责自私，这种说法从头到尾就是一个道德绑架的谬论。将自己无法掌控的不如意的人生责任转嫁到下一代的身上，循环往复。,2.0
山东,打个水光针会好点吗？  打算出了月子去打,0.0
江西,我体寒，不能生[送心],2.0
未知,接丁克对象（或尊重我选择的对象）[玫瑰R],2.0
云南,我听哭了[泣不成声]平时我都这样安慰自己，但是每次被老师斥责的时候，我都不能冷静的对待，对不起，我先来改变自己吧,1.0
广东,一个人也挺好[比心],2.0
内蒙古,[捂脸]我结婚了，男的，我就不想要孩子，还不如养俩个猫孩子，哈哈，看我儿子,2.0
未知,看你名字就知道了，你原本叫什么？是不是已经忘记了？,1.0
未知,在继续单身,2.0
辽宁,牵绊吧,0.0
北京,感谢我的孩子，感谢你。,0.0
广东,这可能针对个别大城市的人群，外出工作的年轻人忽略了父母老人家的感受导致老人家对孩子都心淡了才会有这样的想法！工作虽然重要可也要适当的陪伴父母和老人，有时候一个电话也能体现得到你们的关心和关怀！,1.0
湖南,寄托吧,0.0
贵州,我告诉你们，养儿并不能防老，倒是防晒可以[不失礼貌的微笑],2.0
四川,就是啊  我一个月7000   完全够用   退了休每个月能拿8200   我还能存到钱   想干嘛干嘛   想去哪就去哪   寂寞了就找个男的玩玩   我就活几十年   干嘛要给自己找罪受,2.0
江苏,不得连续两代进入编制，试试。,1.0
辽宁,一吃饱全家不饿,1.0
未知,我当时9个月怀不上 喝的泽古易宝 一个半月怀上的,0.0
广东,继承我的梦想,0.0
美国,只要老子有钱 哪怕洪水滔天,1.0
广西,我剖腹产，躺在手术台上，医生要把手机收走，交给家属，我立刻弹跳起来。改密码关机，这不是要我命吗,0.0
未知,父母之为子则为之计深远啊[捂脸R][捂脸R],0.0
辽宁,是的，该放手的时候，就该放手……孩子，你健康、平安就好[鼓掌],0.0
贵州,我就是想生，我爱她，拿命爱她,0.0
未知,网上都说不婚不育好 现实个个结婚和生小孩的 就我当真了[微笑R],0.0
云南,但是在农村老人不可能同意不生孩子,1.0
未知,希望你以后不会因为各种各样的原因后悔,1.0
未知,我觉得这个男朋友还可以了，能说出这些话，我男朋友就是明里暗里都透露着他很传统他要孩子，根本听不到他说这样话,1.0
贵州,我好爱我家男孩👦[爱心],0.0
北京,每个人都不同的人生，生也好，不生也好，早生有早生的好，晚生有晚生的好，生一个有一个的好，多生几个有生几个的好，Anyway，都是最好的选择，祝好！！,1.0
江苏,闲的没事可以去缅北玩玩,1.0
贵州,主打一个没车没房没存款 没后代      等我死了  那我骨灰抹墙都没有问题,2.0
浙江,我咋感觉你生完反而年轻了，可能有一种干练的感觉,0.0
未知,"实际情况是，如果真的想明白这么多，就生不了娃了。前边口头答应的，也不一定后边能全部做到。生活中的变数很多，经济上没办法保证一直向好。养娃富有富的养法，穷有穷的养法，不是只有一种标准，社会上大多数还是紧张过日子的人，难不成就不该生娃了？？",1.0
未知,现实还在上班攒钱,1.0
未知,丁克的比较晚婚吧,1.0
江苏,感觉发际线好像变高了[笑哭R],1.0
未知,那些觉得年纪大了有孩子不孤单，其实总得来说是一种幻觉，是对未来的美好幻觉,2.0
辽宁,你们那个年代单位还分房子呢,1.0
广东,我和我未婚夫在一起六年，一直坚定不要孩子，除非资产过亿需要继承[笑哭R]，不然孩子就是灾难。身边人的小孩都是那种不听话的，吵吵闹闹，父母都睡不好觉。让我睡不好觉，我会狂躁，我未婚夫又是那种晕血的，不指望他能好好照顾孩子,2.0
未知,真丁克根本不在乎婚姻，也不在乎小孩[微笑R],1.0
河北,在我爸那个年代都没有夸张到一罐奶粉400多  小孩一个月光吃奶粉就得2000,1.0
浙江,我跟我妈也是这么说的，那些住着养老院的人，他们又不是说没有孩子。 他们有孩子，不也住着养老院吗？他们的子女顶多就给他掏了一个住养老院的钱。 那我是不是可以拿自己的社保来交养老院的钱，自己不也是可以自己一个人住养老院吗？那为什么我还要结婚生孩子呢？ 但是我妈就不听，就不听。,2.0
北京,老了可不可怜完全取决于身体情况。久病卧床的很可怜，前一天活蹦乱跳，睡一觉嘎嘣的就不可怜。经济情况当然是越强越好，不是主要原因，孩子嘛看个人心态，也不是主要原因。,1.0
未知,我也讨厌小孩，所以娃小的时候我都尽量让保姆带，但是大了之后就喜欢了，因为像朋友一样可以一起做很多好玩的事情。我自己的时候都没觉得那么好玩的事，跟她一起做就好玩了。,0.0
湖南,啊，没有老啊！反而因为稍微圆润了一点显得更温柔知性洋气了[笑哭R],1.0
北京,38岁丁克了13年，目前还没有后悔的想法[偷笑R],2.0
江苏,通篇就是你怕你怕，你不是怕，你是全心全意的自私主义，你对象想要你不想要那就不要互相耽误，为什么要这样呢？男人觉得你自私，女人觉得自己委屈，你不愿意给他生孩子，想去过灿烂光辉的人生那就抓紧分，不要让他耽误，口口声声剥夺生育权，你这是用分手绑架其他人以及出现这种问题的男性，极端女权不可取,1.0
四川,好吓人，妈妈真不容易[郁金香R][郁金香R][郁金香R],1.0
中国台湾,[笑哭R],1.0
四川,难道生小孩非要得有用吗,0.0
河北,总有想生孩子的人去掺和不想生孩子的人的事[鄙视R] 想生就生别管别人好不,1.0
广东,能不能换个早餐[捂脸],1.0
未知,我是从高中开始就想过这个问题，当时想生三个。现在长大了，要面对现实，如果有钱的话，我会选择生一个，最好是女宝宝，男宝宝也好，我不重女轻男[偷笑R][偷笑R][偷笑R],0.0
四川,姐姐榜样，我也要丁克[偷笑R][偷笑R][偷笑R],2.0
未知,我不是支持丁克，但是你这生孩子的理由只是自我催眠吧,1.0
湖北,最讨厌他们说他们那一代更穷的事了，以前生孩子给口饭吃就能养活还能帮家里干农活免费的劳动力长大包工作进厂铁饭碗，现在生一个孩子又是补习班又是奶粉钱，吃喝拉撒不要钱啊，最后还要养到大学，大学每个月给2000跟发工资一样，毕业了也不一定找的了工作，回不了本[看],1.0
湖北,生完娃没办法睡个好觉，真的衰老的很快[笑哭R],0.0
广东,哺乳三个月已经老了10岁[微笑R],0.0
未知,几乎没有一个男人能看完，看完也很少能做到吧[笑哭R],1.0
未知,从始至终都没有说孩子快不快乐,1.0
未知,这么多你说的我都焦虑了，恐慌[哭惹R],1.0
甘肃,第一个老人家好可怕,1.0
安徽,有得必有失 人当然不能既要又要还要 更何况养儿就一定能防老吗？是老伴照顾你还是你辛苦照顾老伴还难说呢😅再说了 爽了几十年老了活不下去噶了就是了,1.0
未知,有啊，我老师就是不结婚不生孩子,2.0
广东,我也是，责任感过强就……自己也很累，觉得无法对孩子负责。希望十年后我也可以像姐姐一样洒脱。现在还身处泥潭。,2.0
浙江,意思是，儿女要孝敬父母[感谢][感谢][感谢]而不是父母需要时不在身旁[感谢][感谢],1.0
未知,我在上海，身边很多人丁克。比丁克更多的是不婚的。,2.0
四川,求视频里面的文字,1.0
未知,因为我觉得活着很累，不想再让我的孩子出生来受罪了,2.0
北京,还好我有俩孩子[捂脸],0.0
江苏,有孩子就不惨了吗,1.0
未知,大张伟的话，孩子不能退，不能选，等于给自己摆了个死局。,1.0
上海,人到了晚年就没有不惨的，无关其他。,1.0
未知,理想生育条件[偷笑R],1.0
湖北,生前清纯小姑娘，生后增添了一些母性光辉，更温柔呢,0.0
江苏,真觉得自己能活到105吗？,1.0
美国,你是不是。。人大国政07级的。。。我觉得我可以。。认个老同学。。。,1.0
未知,说的生孩子都想的很清楚一样,1.0
广东,生，最好生三四个[捂脸],0.0
浙江,第一条完全是我的心声,1.0
未知,说点大实话就是贩卖焦虑笑死了，你们愿意生娃只管“活着”不管生活质量的自己活在几十年前好了呀，可怜的孩子啧啧啧，孩子没得选啊[抠鼻R],2.0
未知,别的不说，丁克老了住养老院很有可能受到虐待，这跟你有多少存款没关系,0.0
山西,活不到那么久，放心吧,1.0
广东,小孩是最好玩的,0.0
广西,就像当年跟着韩寒学的那一波人一样，最后发现错了，已经没有回头路了。结婚生孩子也跟风,2.0
江苏,晚晚都要[暗中观察],1.0
湖南,开口闭口那个年代，那个年代要28个彩礼吗，那个时候要100平房子吗，那个时候要二十万全款车吗,2.0
浙江,我邻居两口子没孩子每天为老公没给她洗衣服，烧饭吵架，然后我们家是为孩子教育吵架，谁做家务吵架,0.0
未知,啥产检啊1 w,1.0
安徽,感觉你连牙龈都萎缩了好几毫米,1.0
广西,我妈妈在最艰难的时候也没有后悔生下我 可我后悔她生下了我,2.0
北京,比好多年轻人都通透啊,1.0
山东,但是父母怕他转弯路啊，明知道是对他造成伤害，也不涉足吗？,1.0
未知,同岁，同丁，是我们俩共同的选择，我们慎重考虑后觉得这样才是负责的选择，所以更加珍惜彼此，更加热爱生活。,2.0
广东,不会吧吧[猪头],1.0
未知,真的能达到这个水准的估计全中国不到一半人吧,1.0
未知,全部确定了，他啥钱都出，啥都支持我，啥都站在我这边。,1.0
浙江,我觉得生完好看[笑哭R],0.0
未知,其他不知道。备孕体检为什么要4000+啊？我们打算备孕，年初刚做了每年例行的全套体检900（出了没做胃镜其他全包，包括各种CT），又去妇幼做了免费的备孕的体检。妇幼有加钱的基因检测3项总共2800。我觉得我们这查的很全了，不到4000[笑哭R],0.0
未知,我 ... 不配..,1.0
未知,[偷笑R]我很好奇，算这些的目的是什么呢？是想说，我出了子宫，所以男方要给这么多钱吗？,1.0
广东,男性应该要狠优秀才配得上你,1.0
未知,会呀，我想我将来结婚一定要是因为我们相爱，而不是为了生小孩，不论他是不想生还是不能生，我都能接受，因为我爱他,1.0
河南,我35或者40都想辞职了不干了,1.0
河北,体验一下生活,1.0
广东,当我刚怀上他的时候，他就变得无可替代,0.0
未知,个人觉得丁克到死才算丁克[萌萌哒R],1.0
湖南,答非所问,1.0
陕西,你不愿生孩子，黑人愿意生孩子，以后不愁没后代。,1.0
加拿大,65以后的情况 谁说有孩子就能避免[笑哭R],1.0
韩国,别光想带来的快乐和惊喜啊 屎盆子也是一盆接一盆的,1.0
重庆,想生就生 自己开心就好呀 人生不就是为了自己而活吗,1.0
广东,[图片表情],1.0
黑龙江,你是用不着，给国家用[绿帽子],1.0
未知,我男朋友开始也是类似的说法，在一起五年后他就说完全不能接受不要小孩了,0.0
河南,哪有那么多为什么，我有，我喜欢，我骄傲！,0.0
内蒙古,如果有的选我是真不想被生出来，我倒霉，已经被生出来了，那就到我为止，不要滥生无辜,2.0
未知,我和我表哥，我每谈一任都事先声明我不想生孩子，每一任都妄图说服我，后来我烦了就直接分。我表哥直接保密单位家里人根本联系不上他一年也不一定能见到一次想催都没得催。,2.0
未知,孩子死在父母前面，然后又离婚的话，不都一样嘛，孩子去国外生活定居了，不回来了，跟没生过又有什么区别呢？兜兜转转啥也不是。把能不能养老都依托在孩子身上才会给孩子很大的压力，怕孩子成不了龙凤，然后恶性循环一代又一代才是悲哀。,1.0
未知,生孩子第9条，很容易出轨，唉，如果可以，不生挺好，但是好像人生不完整了，完整的人生就是累啊…[偷笑R]没办法呀，这就是人生～酸甜苦辣都有,2.0
湖南,只要她健康快乐,0.0
未知,90后二胎宝妈，全职在家带娃，每天日更分享养娃经验和育儿干货，👇主页，欢迎大家交流讨论[飞吻R],0.0
河北,用？？？,1.0
上海,没有年轻人拼博，老年人怎么会有好的待遇,1.0
安徽,我认为很可爱,0.0
浙江,关键是 你到了不爽的那个阶段 你孩子能帮上多少呢,1.0
美国,很简单，太卷了,1.0
广东,害怕[石化R][哭惹R][哭惹R][哭惹R][哭惹R],1.0
广东,丁什么克？现在嚷嚷着不生孩子，并且对别人生孩子冷嘲热讽的人，过几年生得比谁都多。,0.0
广东,真的 我感觉自己脸都垮了,1.0
辽宁,生小孩就是为了把我挣得钱都给她花，让我无钱可花[呲牙],0.0
江苏,无需解释，也无需争辩，每个人心中都有自己的答案，无所谓对与错。,1.0
未知,该评论已丢失,1.0
广东,真的很羡慕能坚定自我想法的人，我也很不愿意生孩子，我老公也尊重我的想法，他也能接受，只是两家长辈无法接受，只能不断跑医院只为了要个孩子，才知道我体质不好怀孕，几率不大，本来松一口气，但是为了让家长死心，还是做了试管，两次失败，第三次突然就中了，现在又在担心怀了能不能好好生下来，好难啊,2.0
广西,照顾好自己  该放手就放手,1.0
天津,我活不了那么久[汗颜R],1.0
浙江,同样有钱，不知道有没有子女养老院会不会区别对待？,1.0
上海,我赶在40岁前生了宝宝。目前还觉得蛮好玩的[偷笑R],0.0
未知,[哭惹R][哭惹R][哭惹R],1.0
广东,有没有用我不知道，广州不孕不育医院去问问，有人给你答案[捂脸],1.0
未知,有很多老人 有儿有女 也是自己独自走的。没有选择的突然事件。,1.0
未知,养什么老啊？不生孩子省下来的钱才能养老。还是自己自己兜里的钱靠得住。养娃就想着奉献就好。,1.0
未知,对对对 我就是感觉有孩子以后一切都变了他抢走了我的一切[呲牙],2.0
马来西亚,我妈非常赞同我不生孩子的想法，她还劝我不要生，因为照顾我都这么麻烦了，好不容易等到我独立，终于有时间留给自己了，如果还要再顾孙子的话她会崩溃死[偷笑R],2.0
山东,我最近也在想这个问题，目前决定是再玩五六年，然后弄个宝宝,2.0
广东,瞎扯 没钱养出来打工,1.0
未知,我10后 不生[微笑R],2.0
江西,至今也没找到说服自己生孩子的理由,2.0
广东,付出阶段,1.0
未知,难题是很难找到铁丁的队友,1.0
吉林,我一直在等一个在厌孩、原生家庭亲子关系、责任感和能力输出不匹配、有独立经济能力几方面相同的人的体验。和我预想的一样，是不会后悔的[飞吻R],2.0
未知,你小子幸福也是应该的,1.0
江苏,不需要他有用啊、没人逼我生是我自己想生的。你指望他有什么用呢？养老送终？报效国家？ 可能我脑子有问题吧、我感觉想普通人想那么多干嘛、除非被家里人逼生孩子、才那么排斥吧。正常结婚生子、没人逼你又问这种问题有点奇怪。,0.0
未知,不管穷还是富，我都希望孩子是在所有亲人的盼望和喜爱中出生的，而不是因为意外，因为要留住男人，因为各种别的原因选择生了孩子……更不要是说什么年轻不懂事有了就生好歹是条命这种荒诞的理由，这种才是极其不负责任的行为。,0.0
北京,有没有一种可能，这个老人的孩子让他有这种想法,1.0
广东,"上一秒：幻想婚后美好生活下一秒：不想结婚不想生娃",2.0
未知,我觉得博主说的无错，赞同,1.0
广西,孩子多只会内斗多，齐心协力的很少很少的[笑哭R],1.0
湖南,哇！1.2.3点我跟你是一样一样的，我也是觉得我的能力不够我养一个小孩，我的责任心也是很重，而且时常会因为过重的责任心感到焦虑，而且我也没那么喜欢小孩，看到朋友的小孩最多去逗一逗，但是要我带，我会很头疼，我喜欢猫猫，所以养了三只，而庆幸的是，我的老公跟我有同样的想法，所以我们达成了一致，做丁克，更幸运的是，我们双方父母都接受我们的决定。一开始我爸不太能接受，但是我跟我老公很坚定，他现在也不管了。,2.0
山东,94未婚，养个小狗快乐起飞,2.0
重庆,对呀为什么一定要延续香火呢，难道你们还记得祖奶奶叫什么嘛,2.0
浙江,当然需要更多的廉价劳动力了，不然压榨谁去,0.0
未知,我跟我老公丁克，他想结扎我没同意，这玩意扎不扎的挡不住什么实质性的东西，对我来说我信他就行，结扎能挡住孩子又不能挡住出轨，何必呢,2.0
未知,大多数人的生产力水平，无法支持扩大再生产,1.0
